Unnamed: 0,Dataset,Model,Language,total_samples,total_prompts,total_compilable,total_vulnerable,total_compilable_prompts,total_vulnerable_prompts,total_good_suggestions,total_good_prompts,percentage_compilable,percentage_vulnerable,percentage_good_suggestions,percentage_compilable_prompts,percentage_vulnerable_prompts,percentage_good_prompts
SecurityEval_python_codeparrot-small_128_10.jsonl,SecurityEval_python,codeparrot-small,Python,140,14,122,103,14,13,19,9,0.8714285714285714,0.7357142857142858,0.1357142857142857,1.0,0.9285714285714286,0.6428571428571429
SOEvalJava_PolyCoder-0.4B_128_10.jsonl,SOEvalJava,PolyCoder-0.4B,Java,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SOEvalPython_codegen-350M-mono_128_10.jsonl,SOEvalPython,codegen-350M-mono,Python,10,1,9,8,1,1,1,1,0.9,0.8,0.1,1.0,1.0,1.0
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java,incoder-1B,Java,150,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SecurityEval_python_codegen-2B-multi_128_10.jsonl,SecurityEval_python,codegen-2B-multi,Python,160,16,147,111,16,14,36,12,0.91875,0.69375,0.225,1.0,0.875,0.75
SOEvalJava_codegen-2B-multi_128_10.jsonl,SOEvalJava,codegen-2B-multi,Java,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-0.4B,Java,90,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,CoderEval4Python_prompt,gpt3.5,Python,40,4,40,30,4,3,10,1,1.0,0.75,0.25,1.0,0.75,0.25
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,Java,130,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SOEvalPython_codeparrot-small_128_10.jsonl,SOEvalPython,codeparrot-small,Python,20,2,18,16,2,2,2,1,0.9,0.8,0.1,1.0,1.0,0.5
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,110,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SOEvalPython_PolyCoder-2.7B_128_10.jsonl,SOEvalPython,PolyCoder-2.7B,Python,10,1,9,8,1,1,1,1,0.9,0.8,0.1,1.0,1.0,1.0
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,SecurityEval_python,PolyCoder-2.7B,Python,120,12,87,79,12,12,8,5,0.725,0.6583333333333333,0.0666666666666666,1.0,1.0,0.4166666666666667
SOEvalPython_codegen-2B-multi_128_10.jsonl,SOEvalPython,codegen-2B-multi,Python,20,2,17,14,2,2,3,1,0.85,0.7,0.15,1.0,1.0,0.5
SOEvalJava_codegen-350M-multi_128_10.jsonl,SOEvalJava,codegen-350M-multi,Java,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SOEvalJava_PolyCoder-160M_128_10.jsonl,SOEvalJava,PolyCoder-160M,Java,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SOEvalPython_codeparrot_128_10.jsonl,SOEvalPython,codeparrot,Python,20,2,17,13,2,2,4,1,0.85,0.65,0.2,1.0,1.0,0.5
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,180,18,150,70,15,7,80,8,0.8333333333333334,0.3888888888888889,0.4444444444444444,0.8333333333333334,0.3888888888888889,0.4444444444444444
